display  D   display_settings.c:191  debug_display_settings           [   0.11078] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11088] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11096] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11106] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11128] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11139] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11147] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11158] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11165] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11176] Single Buffer requirement not met.
